"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000106853",1407.67163799201,-0.0693703384528257,0.266473141490939,-0.26032769405837,0.794611012071862,0.933766587354776
"ENSG00000106868",505.07515330534,0.203178308656225,0.164155294836879,1.23772010435682,0.215819861942969,0.500933610594063
"ENSG00000106927",5.89260891511924,0.104737368931911,0.678968032745266,0.154259646817874,0.87740501358571,NA
"ENSG00000106948",547.479212078056,-0.910375367094267,0.223483700216625,-4.07356494550533,4.62989327841956e-05,0.00081157099191741
"ENSG00000106952",0.196284843779606,0.173365714697881,3.5338115409304,0.0490591285612917,0.960872174846211,NA
"ENSG00000106976",989.046833637733,-1.85017141617636,0.147802596310359,-12.517854641006,5.9625043506072e-36,6.02014189266307e-33
"ENSG00000106991",3376.03648866491,-0.391521848570927,0.124031692451297,-3.1566274782928,0.00159605105281486,0.0152698630416178
"ENSG00000106992",1240.47653030297,-0.297427329264813,0.148513282562415,-2.0026985070498,0.045209659146361,0.186719467622481
"ENSG00000106993",406.391185706182,0.560755685945521,0.190277744121051,2.94703770288962,0.00320834082599142,0.0270698171641449
"ENSG00000107014",0,NA,NA,NA,NA,NA
"ENSG00000107018",0,NA,NA,NA,NA,NA
"ENSG00000107020",204.643519936782,0.085938283544991,0.17136551537523,0.501491115974043,0.616025528674043,0.845541655951457
"ENSG00000107021",996.409926092315,-0.0625822476974973,0.130424345909335,-0.479835626248812,0.631344278073698,0.855787084169529
"ENSG00000107036",1643.09095112186,0.0370148917125997,0.141590492848977,0.261422154608082,0.793766973993633,0.933552799325397
"ENSG00000107077",390.470222572932,-0.244046304031487,0.185412558139022,-1.31623395136214,0.188095531575028,0.463656709912728
"ENSG00000107099",23.1879637725463,0.175572535548779,0.512387281319512,0.342655920530736,0.731857327509259,0.907052232072266
"ENSG00000107104",1303.14789877512,1.23172568265869,0.270639712303976,4.5511638782532,5.33499730957411e-06,0.000124496971114792
"ENSG00000107105",4.24058700431198,-0.634202251800675,0.959442075490169,-0.661011506584874,0.508604934376024,NA
"ENSG00000107130",1093.96180772119,-0.506672255337807,0.154709179183332,-3.27499801894364,0.00105662714590772,0.0109382215480331
"ENSG00000107140",712.532884144715,0.235100441670453,0.191391410082685,1.22837509566853,0.219306192335684,0.505690254755341
"ENSG00000107147",2.2285341179977,0.818727093064409,1.34291883751901,0.609662378835176,0.542085480765864,NA
"ENSG00000107159",29.5085454398331,-0.126852070075835,0.631291006628662,-0.200940721068202,0.840744926235499,0.953788906954055
"ENSG00000107164",1176.83605928285,-0.046852565046326,0.11912834192204,-0.39329486409697,0.694101711104263,0.88978057500193
"ENSG00000107165",0.13880171053401,0.894699722854173,3.5338115409304,0.253182636507722,0.800127083554548,NA
"ENSG00000107175",950.565055711961,-0.0311478144509557,0.0851883345043131,-0.365634738983876,0.714637649446958,0.899586234721782
"ENSG00000107185",1312.15808460687,-0.0189309233478601,0.119253224473827,-0.158745588904515,0.873869318813678,0.964071156374302
"ENSG00000107186",1725.34586242899,-0.141786774425187,0.212074610994132,-0.668570244031286,0.503769659218974,0.773086583126088
"ENSG00000107187",0.13880171053401,0.894699722854173,3.5338115409304,0.253182636507722,0.800127083554548,NA
"ENSG00000107201",342.301661406864,-0.101229313995181,0.174988679989834,-0.57849064294366,0.56293291292204,0.814217881045859
"ENSG00000107223",2410.69626000681,-0.0452991584279874,0.096682516945868,-0.468535158774881,0.63940193430371,0.859554615216553
"ENSG00000107242",0.921134310450957,1.53928668307719,1.98591116628556,0.775103493655389,0.438278507355341,NA
"ENSG00000107249",747.277062058681,0.331155186073827,0.155383482891305,2.13121227502333,0.0330716582092202,0.151148664317097
"ENSG00000107262",606.852989355468,0.0697068634653345,0.166311332875825,0.41913477728773,0.675117635596676,0.879895794165761
"ENSG00000107263",1863.59707574266,0.303824676634982,0.135311487363185,2.2453723815739,0.0247442368953481,0.123402931987533
"ENSG00000107281",822.200015109074,0.145117489740953,0.194412464264928,0.746441285488771,0.455400887371226,0.738520873673543
"ENSG00000107282",365.851634995353,-0.121791749380154,0.191413929933936,-0.636274222164442,0.524597703514508,0.785547975057072
"ENSG00000107290",3113.04351667086,0.0874282436160597,0.0864763679544631,1.01100735014794,0.312012911889725,0.616334361623826
"ENSG00000107295",0.602927145695087,-1.5514181782682,2.06236775500517,-0.752250986519283,0.451900137037027,NA
"ENSG00000107317",4698.21586839125,-0.225311460460573,0.285189310931736,-0.790041743585909,0.429503390159535,0.720198056240718
"ENSG00000107331",1351.18580700711,-0.126430683450969,0.235667912569391,-0.536478140246361,0.591628139703623,0.831805437784197
"ENSG00000107338",346.317273057369,-0.930897231228215,0.145155698541461,-6.41309463274239,1.42594941366114e-10,9.51365809246603e-09
"ENSG00000107341",1689.23360650743,0.045454952308741,0.115654791725614,0.393022646364545,0.694302755141395,0.88978057500193
"ENSG00000107362",191.980330985128,0.484971770946446,0.16462763835361,2.94587091084156,0.00322046772464643,0.0271570065087807
"ENSG00000107371",220.651434881858,0.145188113368529,0.173125051279494,0.838631453365679,0.40167615465944,0.699447559304859
"ENSG00000107372",5274.52136032933,0.741864710226432,0.264952786159449,2.79998833369495,0.00511044535201786,0.0388347691200755
"ENSG00000107404",1050.38771918019,0.116668834192443,0.147463013915986,0.791173536293735,0.428842732013659,0.719727745605814
"ENSG00000107438",2895.01569945324,0.748489101328217,0.213976984759933,3.49798882420915,0.000468780775830259,0.00570714216233864
"ENSG00000107443",122.158082237624,-0.0688274927508881,0.19219859487817,-0.358106118281021,0.720263900556476,0.902116835422414
"ENSG00000107447",0,NA,NA,NA,NA,NA
"ENSG00000107485",1.11792072263645,2.02207856773087,2.5951537966144,0.779174849047039,0.435876723601487,NA
"ENSG00000107518",19.3889674148969,0.0857776966221498,0.514390726207947,0.166755915788951,0.867562107001933,0.962595056357713
"ENSG00000107521",1945.75715679416,0.0577580377780114,0.0805117690914133,0.717386270725622,0.473135788616935,0.750598034739477
"ENSG00000107537",729.959400499675,0.0445536970620289,0.118598471327973,0.375668392375984,0.707163438764048,0.895783730351414
"ENSG00000107551",627.577202855114,-0.175508610821278,0.364500998253751,-0.48150378644257,0.630158489265992,0.855021530185759
"ENSG00000107554",934.839261574252,-0.141877316681052,0.121272379631122,-1.16990626482802,0.242038692482588,0.535250162391484
"ENSG00000107560",701.130284595921,-0.106724047821001,0.120090815009227,-0.888694508508428,0.374167283195963,0.674418557630464
"ENSG00000107562",27826.6530130906,-1.88342090906851,0.281134078741314,-6.69936891856338,2.09321535043977e-11,1.63411064342321e-09
"ENSG00000107566",1672.79647557854,-0.0913905251738716,0.0685993227782749,-1.3322365509243,0.182782469294636,0.455602451854389
"ENSG00000107581",8999.48000652082,0.191418083789945,0.0981305645199661,1.95064692357903,0.051099061222049,0.203817561814046
"ENSG00000107593",0.375761850845173,1.06496390568614,3.51183976067429,0.303249572378457,0.761699673172203,NA
"ENSG00000107611",47.6907362253138,-1.62572077261527,0.43681829741666,-3.72173231348085,0.00019786071443506,0.00278753536755254
"ENSG00000107614",114.393797071265,-0.427597286244189,0.259908662235803,-1.64518289835315,0.0999320991568072,0.316824710431201
"ENSG00000107625",902.650860939897,-0.049413360444147,0.0973874784514311,-0.507389258145649,0.611881721258938,0.843837552308626
"ENSG00000107643",498.967892244574,-0.056478957346036,0.138157381082597,-0.408801592093515,0.682685271431623,0.883519858418145
"ENSG00000107651",1293.21848880482,0.131778538926184,0.211112454883877,0.6242101585085,0.532489576314169,0.790100385351043
